Column Name,Data Type,Non-Null Count,Unique Values,Sample Values,Description
AKS US Equity,float64,9255,3672,"[9.4098, 9.2096, 9.8103]",Description not provided. Please update as needed.
ALB US Equity,float64,9291,5268,"[4.8526, 4.6434, 4.5597]",Description not provided. Please update as needed.
ALGN US Equity,float64,6762,3269,"[13.0, 17.3125, 18.0625]",Description not provided. Please update as needed.
ALK US Equity,float64,9459,4134,"[3.0614, 3.0036, 2.9748]",Description not provided. Please update as needed.
ALL US Equity,float64,9459,5525,"[8.9762, 8.8371, 8.9225]",Description not provided. Please update as needed.
ALLE US Equity,float64,2082,1362,"[46.7977, 44.2152, 43.105]",Description not provided. Please update as needed.
ALXN US Equity,float64,8555,4318,"[2.2813, 2.3125, 2.25]",Description not provided. Please update as needed.
AMAT US Equity,float64,9459,5060,"[1.6467, 1.5918, 1.6589]",Description not provided. Please update as needed.
AMCC US Equity,float64,7244,2046,"[5.875, 5.8125, 5.5]",Description not provided. Please update as needed.
AMCR US Equity,float64,51,28,"[11.18, 11.25, 11.02]",Description not provided. Please update as needed.
AMD US Equity,float64,9459,2575,"[13.8087, 13.6837, 13.8712]",Description not provided. Please update as needed.
AME US Equity,float64,8035,4794,"[2.7765, 2.84, 2.9034]",Description not provided. Please update as needed.
AMG US Equity,float64,7923,4510,"[17.4438, 17.1147, 16.0861]",Description not provided. Please update as needed.
AMGN US Equity,float64,9459,4685,"[3.983, 3.891, 3.904]",Description not provided. Please update as needed.
AMP US Equity,float64,5068,3325,"[28.226, 27.913, 27.99]",Description not provided. Please update as needed.
AMT US Equity,float64,7825,4105,"[15.342, 15.232, 15.121]",Description not provided. Please update as needed.
AMZN US Equity,float64,8114,4986,"[1.5, 1.958, 1.729]",Amazon
AN US Equity,float64,9459,3263,"[1.499, 1.4749, 1.4023]",Description not provided. Please update as needed.
ANDV US Equity,float64,9459,4132,"[2.8411, 2.7378, 2.7895]",Description not provided. Please update as needed.
ANDW US Equity,float64,5490,1661,"[6.716, 6.4198, 7.2099]",Description not provided. Please update as needed.
ANET US Equity,float64,1883,1232,"[43.0, 55.0, 55.2]",Description not provided. Please update as needed.
ANF US Equity,float64,8344,4803,"[8.2496, 8.205, 8.7401]",Description not provided. Please update as needed.
ANRZQ US Equity,float64,4240,2146,"[19.0, 22.69, 24.6]",Description not provided. Please update as needed.
ANSS US Equity,float64,8442,4053,"[2.9688, 3.0, 3.2188]",Description not provided. Please update as needed.
ANTM US Equity,float64,6485,4018,"[15.821, 17.975, 18.405]",Description not provided. Please update as needed.
AON US Equity,float64,9459,5363,"[10.205, 10.183, 10.138]",Description not provided. Please update as needed.
AOS US Equity,float64,9459,5282,"[1.8552, 1.8987, 1.9597]",Description not provided. Please update as needed.
APA US Equity,float64,9459,5688,"[9.8547, 9.7702, 9.9393]",Description not provided. Please update as needed.
APC US Equity,float64,9459,5848,"[9.2238, 9.119, 8.988]",Description not provided. Please update as needed.
APD US Equity,float64,9459,5726,"[10.9636, 10.9966, 10.7661]",Description not provided. Please update as needed.
APH US Equity,float64,8109,4829,"[1.6365, 1.6074, 1.6219]",Description not provided. Please update as needed.
APOL US Equity,float64,8329,3800,"[0.7819, 0.7737, 0.749]",Description not provided. Please update as needed.
APTV US Equity,float64,2815,1838,"[16.9744, 16.4575, 16.2029]",Description not provided. Please update as needed.
APY US Equity,float64,461,277,"[38.0, 37.5, 37.0]",Description not provided. Please update as needed.
ARB US Equity,float64,7686,3154,"[9.09, 8.9554, 8.888]",Description not provided. Please update as needed.
ARE US Equity,float64,8100,4939,"[9.2285, 9.3933, 9.6679]",Description not provided. Please update as needed.
ARG US Equity,float64,8418,3734,"[7.65, 7.415, 7.2845]",Description not provided. Please update as needed.
ARNC US Equity,float64,1003,632,"[18.4334, 17.4786, 17.0401]",Description not provided. Please update as needed.
AS US Equity,float64,2562,62,"[6.625, 6.25, 6.5]",Description not provided. Please update as needed.
ASH US Equity,float64,9459,5530,"[5.5054, 5.3423, 5.3831]",Description not provided. Please update as needed.
ASIX US Equity,float64,1050,624,"[16.64, 19.2007, 20.15]",Description not provided. Please update as needed.
ATGE US Equity,float64,9459,4327,"[3.1129, 3.1705, 3.1417]",Description not provided. Please update as needed.
ATI US Equity,float64,8385,4948,"[23.9896, 23.7023, 23.8459]",Description not provided. Please update as needed.
ATO US Equity,float64,309,200,"[91.1789, 91.8286, 92.4389]",Description not provided. Please update as needed.
ATVI US Equity,float64,9411,3952,"[0.8525, 0.7862, 0.7483]",Description not provided. Please update as needed.
AVATQ US Equity,float64,7299,314,"[12.5883, 12.3462, 12.7093]",Description not provided. Please update as needed.
AVB US Equity,float64,9274,5185,"[6.699, 6.619, 6.86]",Description not provided. Please update as needed.
AVGO US Equity,float64,3648,2400,"[13.0696, 14.0977, 14.3156]",Description not provided. Please update as needed.
AVP US Equity,float64,9459,5068,"[3.8927, 3.7008, 3.7374]",Description not provided. Please update as needed.
AVY US Equity,float64,9459,5635,"[6.8489, 6.9476, 7.0793]",Description not provided. Please update as needed.
AW US Equity,float64,5856,1144,"[4.4375, 4.125, 4.3125]",Description not provided. Please update as needed.
AWE US Equity,float64,1969,718,"[29.5, 31.8125, 31.9375]",Description not provided. Please update as needed.
AWK US Equity,float64,4118,2559,"[15.982, 15.313, 15.4691]",Description not provided. Please update as needed.
AXP US Equity,float64,9459,5747,"[5.8303, 5.8083, 5.8963]",Description not provided. Please update as needed.
AYE US Equity,float64,6588,3090,"[15.3019, 15.2343, 15.2681]",Description not provided. Please update as needed.
AYI US Equity,float64,6455,4170,"[8.174, 8.042, 8.965]",Description not provided. Please update as needed.
AZA US Equity,float64,2928,702,"[11.4962, 11.1293, 11.2516]",Description not provided. Please update as needed.
AZO US Equity,float64,9459,4536,"[27.0, 26.563, 26.875]",Description not provided. Please update as needed.
BA US Equity,float64,9459,5679,"[12.029, 11.916, 12.18]",Description not provided. Please update as needed.
BAC US Equity,float64,9459,5537,"[6.4722, 6.5515, 6.6784]",Description not provided. Please update as needed.
BAX US Equity,float64,9459,5429,"[3.8254, 3.3359, 3.1727]",Description not provided. Please update as needed.
BBBY US Equity,float64,9459,4012,"[3.3275, 3.2087, 3.4463]",Description not provided. Please update as needed.
BBT US Equity,float64,9459,5275,"[4.4891, 4.4621, 4.5432]",Description not provided. Please update as needed.
BBY US Equity,float64,9459,5274,"[1.5151, 1.4899, 1.4949]",Description not provided. Please update as needed.
BC US Equity,float64,9459,5204,"[9.7681, 9.9365, 9.8523]",Description not provided. Please update as needed.
BCO US Equity,float64,9459,5321,"[6.1845, 6.2637, 6.2241]",Description not provided. Please update as needed.
BCR US Equity,float64,9150,5141,"[8.6473, 8.3668, 8.4136]",Description not provided. Please update as needed.
BDK US Equity,float64,6222,3374,"[15.7241, 15.6276, 15.8205]",Description not provided. Please update as needed.
BDX US Equity,float64,9459,5518,"[6.328, 6.114, 6.006]",Description not provided. Please update as needed.
BEAM US Equity,float64,7686,4189,"[8.8582, 8.7908, 8.8245]",Description not provided. Please update as needed.
BEN US Equity,float64,9459,5742,"[3.3298, 3.1223, 3.2667]",Description not provided. Please update as needed.
BF/B US Equity,float64,9459,5504,"[1.5589, 1.5443, 1.5226]",Description not provided. Please update as needed.
BGEN US Equity,float64,4026,1522,"[8.5625, 8.1875, 8.125]",Description not provided. Please update as needed.
BGG US Equity,float64,9459,5415,"[9.193, 9.1784, 9.0763]",Description not provided. Please update as needed.
BHF US Equity,float64,745,470,"[70.0, 68.95, 69.0]",Description not provided. Please update as needed.
BHGE US Equity,float64,9459,5568,"[12.7341, 12.428, 12.3668]",Description not provided. Please update as needed.
BHI US Equity,float64,8784,5099,"[18.9171, 18.4624, 18.3714]",Description not provided. Please update as needed.
BHMSQ US Equity,float64,4026,536,"[13.0, 13.125, 13.25]",Description not provided. Please update as needed.
BIG US Equity,float64,9459,3896,"[9.8964, 9.9697, 9.8231]",Description not provided. Please update as needed.
BIIB US Equity,float64,9459,4740,"[0.768, 0.691, 0.729]",Description not provided. Please update as needed.
BIVV US Equity,float64,622,266,"[47.5, 45.77, 44.57]",Description not provided. Please update as needed.
BK US Equity,float64,9459,5527,"[4.0079, 4.1013, 4.2134]",Description not provided. Please update as needed.
BKB US Equity,float64,2562,1008,"[10.2314, 10.127, 10.5446]",Description not provided. Please update as needed.
BKNG US Equity,float64,7430,4462,"[96.0, 414.0, 497.25]",Description not provided. Please update as needed.
BLK US Equity,float64,7245,4499,"[10.059, 10.149, 10.104]",Description not provided. Please update as needed.
BLL US Equity,float64,9459,5427,"[1.454, 1.4482, 1.4655]",Description not provided. Please update as needed.
BLS US Equity,float64,5124,2575,"[9.8777, 9.8366, 10.1241]",Description not provided. Please update as needed.
BLY US Equity,float64,1464,168,"[8.3974, 8.1673, 8.5124]",Description not provided. Please update as needed.
BMC US Equity,float64,7686,2826,"[6.5469, 6.4688, 6.7813]",Description not provided. Please update as needed.
BMG US Equity,float64,2928,384,"[7.6196, 7.9824, 7.0149]",Description not provided. Please update as needed.
BMS US Equity,float64,9459,5237,"[5.5488, 5.6778, 5.8069]",Description not provided. Please update as needed.
BMY US Equity,float64,9459,5592,"[5.4907, 5.5029, 5.5271]",Description not provided. Please update as needed.
BNI US Equity,float64,6222,3404,"[13.4337, 13.4654, 13.2436]",Description not provided. Please update as needed.
BOL US Equity,float64,5490,2849,"[35.9733, 35.6832, 36.4568]",Description not provided. Please update as needed.
BR US Equity,float64,4515,2856,"[15.6586, 15.8378, 16.1026]",Description not provided. Please update as needed.
BRCM US Equity,float64,6736,3804,"[3.7222, 8.3167, 7.9872]",Description not provided. Please update as needed.
BRK/B US Equity,float64,8484,3908,"[23.2, 24.0, 23.9]",Description not provided. Please update as needed.
BRL US Equity,float64,5856,2256,"[2.9465, 2.9794, 3.144]",Description not provided. Please update as needed.
BSET US Equity,float64,9459,4577,"[11.6668, 11.584, 11.2944]",Description not provided. Please update as needed.
BSX US Equity,float64,9459,3056,"[3.4375, 3.5625, 3.5313]",Description not provided. Please update as needed.
BTUUQ US Equity,float64,5971,3672,"[85.0538, 111.785, 115.2783]",Description not provided. Please update as needed.
BVSN US Equity,float64,8442,2749,"[175.0, 178.125, 171.875]",Description not provided. Please update as needed.
BWA US Equity,float64,9459,5480,"[2.3543, 2.2829, 2.271]",Description not provided. Please update as needed.
BXLT US Equity,float64,467,229,"[33.306, 32.7493, 31.8644]",Description not provided. Please update as needed.
BXP US Equity,float64,8080,4834,"[9.218, 9.864, 9.817]",Description not provided. Please update as needed.
C US Equity,float64,9459,5481,"[44.5825, 43.3087, 45.8563]",Description not provided. Please update as needed.
CA US Equity,float64,9459,5237,"[6.9262, 6.4916, 6.6002]",Description not provided. Please update as needed.
CAG US Equity,float64,9459,5168,"[4.2385, 4.2822, 4.2603]",Description not provided. Please update as needed.
CAH US Equity,float64,9459,5715,"[4.6852, 4.6527, 4.7828]",Description not provided. Please update as needed.
CAL US Equity,float64,9459,5208,"[7.7019, 7.6133, 7.6428]",Description not provided. Please update as needed.
CAM US Equity,float64,7767,3722,"[2.1875, 2.2188, 2.25]",Description not provided. Please update as needed.
CAR US Equity,float64,9459,3905,"[18.726, 17.9824, 17.9148]",Description not provided. Please update as needed.
CARS US Equity,float64,805,427,"[24.68, 24.6, 25.0]",Description not provided. Please update as needed.
CAT US Equity,float64,9459,5936,"[5.3007, 5.376, 5.3425]",Description not provided. Please update as needed.
CB US Equity,float64,9459,5454,"[7.029, 6.978, 6.927]",Description not provided. Please update as needed.
CBE US Equity,float64,7320,3983,"[14.8642, 14.8147, 14.8511]",Description not provided. Please update as needed.
CBOE US Equity,float64,3335,2143,"[24.7858, 27.7687, 27.4097]",Description not provided. Please update as needed.
CBRE US Equity,float64,5531,2632,"[6.3333, 6.1167, 6.0667]",Description not provided. Please update as needed.
CBS US Equity,float64,9459,4931,"[16.2418, 15.5565, 16.0705]",Description not provided. Please update as needed.
CCI US Equity,float64,7654,3924,"[10.9286, 10.9811, 10.2981]",Description not provided. Please update as needed.
CCK US Equity,float64,9459,3963,"[29.3836, 28.9623, 28.7517]",Description not provided. Please update as needed.
CCL US Equity,float64,9459,5535,"[6.1693, 6.0376, 6.1128]",Description not provided. Please update as needed.
CCTYQ US Equity,float64,6954,3150,"[7.8214, 7.7833, 8.0122]",Description not provided. Please update as needed.
CDNS US Equity,float64,9459,2973,"[2.5278, 2.3889, 2.4722]",Description not provided. Please update as needed.
CE US Equity,float64,309,200,"[111.6407, 111.4158, 111.4843]",Description not provided. Please update as needed.
CEG US Equity,float64,6954,3458,"[12.7592, 12.6394, 12.8191]",Description not provided. Please update as needed.
CELG US Equity,float64,9459,4404,"[0.438, 0.432, 0.427]",Description not provided. Please update as needed.
CEPH US Equity,float64,6954,2456,"[11.5, 11.125, 11.0]",Description not provided. Please update as needed.
CERN US Equity,float64,9459,4289,"[1.875, 1.7891, 1.8281]",Description not provided. Please update as needed.
CF US Equity,float64,5104,3391,"[2.6217, 2.6545, 2.938]",Description not provided. Please update as needed.
CFC US Equity,float64,5490,2911,"[4.0738, 3.9923, 4.1389]",Description not provided. Please update as needed.
CFG US Equity,float64,1773,1119,"[19.8053, 21.2607, 21.2331]",Description not provided. Please update as needed.
CFN US Equity,float64,2225,969,"[18.5, 17.86, 17.73]",Description not provided. Please update as needed.
CGP US Equity,float64,2928,1176,"[13.3603, 12.8915, 12.7743]",Description not provided. Please update as needed.
CHD US Equity,float64,9459,5159,"[1.3839, 1.3617, 1.3987]",Description not provided. Please update as needed.
CHIR US Equity,float64,4991,1627,"[17.0, 16.6875, 16.3125]",Description not provided. Please update as needed.
CHK US Equity,float64,9459,4425,"[0.9049, 0.8387, 0.8497]",Description not provided. Please update as needed.
CHRW US Equity,float64,7961,5035,"[3.2276, 4.0345, 4.0793]",Description not provided. Please update as needed.
CHTR US Equity,float64,3529,2181,"[36.496, 39.814, 40.091]",Description not provided. Please update as needed.
CI US Equity,float64,9459,5713,"[5.368, 5.389, 5.432]",Description not provided. Please update as needed.
CIEN US Equity,float64,8211,3251,"[80.5, 129.5, 120.75]",Description not provided. Please update as needed.
CIN US Equity,float64,4758,2072,"[13.7425, 13.8641, 13.8033]",Description not provided. Please update as needed.
CINF US Equity,float64,9459,5461,"[7.1255, 7.1866, 7.309]",Description not provided. Please update as needed.
CINL US Equity,float64,732,125,"[30.0278, 30.3911, 29.7857]",Description not provided. Please update as needed.
CITGQ US Equity,float64,3003,1677,"[19.6673, 18.8122, 18.7694]",Description not provided. Please update as needed.
CKL US Equity,float64,732,190,"[44.875, 44.375, 44.75]",Description not provided. Please update as needed.
CL US Equity,float64,9459,5673,"[3.8281, 3.8095, 3.856]",Description not provided. Please update as needed.
CLF US Equity,float64,9459,5085,"[2.2705, 2.3488, 2.3977]",Description not provided. Please update as needed.
CLX US Equity,float64,9459,5547,"[6.881, 6.897, 6.946]",Description not provided. Please update as needed.
CMA US Equity,float64,9459,5600,"[9.3257, 9.2857, 9.0529]",Description not provided. Please update as needed.
CMCSA US Equity,float64,9459,4823,"[2.7038, 2.7596, 2.7485]",Description not provided. Please update as needed.
CMCSK US Equity,float64,8418,4010,"[5.2872, 5.4047, 5.3577]",Description not provided. Please update as needed.
CME US Equity,float64,6083,4025,"[4.463, 5.47, 5.358]",Description not provided. Please update as needed.
CMG US Equity,float64,4936,3253,"[22.0, 44.0, 42.2]",Description not provided. Please update as needed.
CMI US Equity,float64,9459,5394,"[5.858, 5.804, 5.885]",Description not provided. Please update as needed.
CMS US Equity,float64,9459,4679,"[12.1119, 11.9998, 11.9437]",Description not provided. Please update as needed.
CMVT US Equity,float64,7320,2496,"[2.5406, 2.4953, 2.586]",Description not provided. Please update as needed.
CMX US Equity,float64,4591,1495,"[14.692, 15.5691, 14.9112]",Description not provided. Please update as needed.
CNA US Equity,float64,9459,4375,"[18.4131, 18.492, 18.571]",Description not provided. Please update as needed.
CNC US Equity,float64,6441,3432,"[2.3333, 2.8667, 2.7833]",Description not provided. Please update as needed.
CNCEQ US Equity,float64,4026,1681,"[14.2491, 14.1337, 15.0279]",Description not provided. Please update as needed.
CNDT US Equity,float64,961,458,"[16.0, 15.18, 14.3]",Description not provided. Please update as needed.
CNP US Equity,float64,9459,4830,"[5.2422, 5.2562, 5.2703]",Description not provided. Please update as needed.
CNRG US Equity,float64,2845,1082,"[41.9018, 41.6128, 41.8055]",Description not provided. Please update as needed.
CNW US Equity,float64,8418,4562,"[9.4922, 9.4104, 9.5741]",Description not provided. Please update as needed.
CNX US Equity,float64,7399,4510,"[4.6071, 4.1032, 4.1392]",Description not provided. Please update as needed.
COC US Equity,float64,1525,648,"[24.7777, 24.8345, 24.5504]",Description not provided. Please update as needed.
COF US Equity,float64,9024,5624,"[4.207, 4.2727, 4.3384]",Description not provided. Please update as needed.
COG US Equity,float64,9459,5208,"[1.9242, 1.87, 1.888]",Description not provided. Please update as needed.
COL US Equity,float64,6621,4157,"[18.4042, 19.2861, 20.375]",Description not provided. Please update as needed.
COMS US Equity,float64,6222,1522,"[1.3335, 1.3203, 1.3138]",Description not provided. Please update as needed.
COO US Equity,float64,9459,5090,"[0.5491, 0.5948, 0.6406]",Description not provided. Please update as needed.
COP US Equity,float64,9459,4785,"[7.3706, 7.3134, 7.2563]",Description not provided. Please update as needed.
COST US Equity,float64,9459,4972,"[6.457, 6.272, 6.364]",Description not provided. Please update as needed.
COTY US Equity,float64,2241,1306,"[15.7704, 15.6442, 15.7884]",Description not provided. Please update as needed.
COV US Equity,float64,3024,1800,"[36.9444, 37.346, 37.1452]",Description not provided. Please update as needed.
CPB US Equity,float64,9459,5403,"[9.4392, 9.5011, 9.5321]",Description not provided. Please update as needed.
CPGX US Equity,float64,465,221,"[30.8385, 30.8189, 30.3302]",Description not provided. Please update as needed.
CPNLQ US Equity,float64,4381,1471,"[2.0156, 2.0313, 2.0]",Description not provided. Please update as needed.
CPRI US Equity,float64,309,200,"[68.02, 69.46, 68.56]",Description not provided. Please update as needed.
CPRT US Equity,float64,9268,3784,"[0.6094, 0.6354, 0.6406]",Description not provided. Please update as needed.
CR US Equity,float64,9459,5454,"[7.1771, 7.2418, 7.3065]",Description not provided. Please update as needed.
CRM US Equity,float64,5518,3426,"[2.75, 4.3, 4.19]",Description not provided. Please update as needed.
CSC US Equity,float64,8784,4038,"[5.7212, 5.7056, 5.6745]",Description not provided. Please update as needed.
CSCO US Equity,float64,9459,4505,"[0.9661, 0.9744, 1.0385]",Description not provided. Please update as needed.
CSRA US Equity,float64,1045,539,"[30.8369, 31.8761, 31.9196]",Description not provided. Please update as needed.
CSX US Equity,float64,9459,5558,"[3.7784, 3.7348, 3.7597]",Description not provided. Please update as needed.
CTAS US Equity,float64,9459,5028,"[7.1033, 6.9764, 7.0716]",Description not provided. Please update as needed.
CTB US Equity,float64,9459,5091,"[14.9837, 14.912, 15.1987]",Description not provided. Please update as needed.
CTL US Equity,float64,9459,5348,"[4.9498, 4.9072, 4.8858]",Description not provided. Please update as needed.
CTSH US Equity,float64,7713,4459,"[0.2048, 0.2099, 0.2304]",Description not provided. Please update as needed.
CTVA US Equity,float64,69,43,"[28.869, 28.6351, 28.3713]",Description not provided. Please update as needed.
CTXS US Equity,float64,8637,4399,"[1.9907, 2.1898, 2.1234]",Description not provided. Please update as needed.
CVC US Equity,float64,8418,4043,"[2.903, 3.0069, 3.0629]",Description not provided. Please update as needed.
CVET US Equity,float64,177,112,"[42.0, 46.19, 43.05]",Description not provided. Please update as needed.
CVG US Equity,float64,7659,3114,"[13.6866, 15.1693, 14.1429]",Description not provided. Please update as needed.
CVGYQ US Equity,float64,4392,1078,"[16.1629, 16.2084, 15.8442]",Description not provided. Please update as needed.
CVH US Equity,float64,7320,2909,"[6.8613, 6.67, 6.8887]",Description not provided. Please update as needed.
CVS US Equity,float64,9459,5576,"[6.7583, 6.7201, 6.5674]",Description not provided. Please update as needed.
CVX US Equity,float64,9459,5721,"[9.5852, 9.3638, 9.2075]",Description not provided. Please update as needed.
CXO US Equity,float64,4382,2670,"[11.5, 12.9, 12.7]",Description not provided. Please update as needed.
D US Equity,float64,9459,5324,"[7.4684, 7.449, 7.4296]",Description not provided. Please update as needed.
DAL US Equity,float64,4480,2373,"[20.9376, 19.2104, 18.7878]",Description not provided. Please update as needed.
DALRQ US Equity,float64,5124,2584,"[25.2645, 25.1433, 25.4463]",Description not provided. Please update as needed.
DCNAQ US Equity,float64,5490,2569,"[19.2684, 19.1367, 19.0928]",Description not provided. Please update as needed.
DD US Equity,float64,9459,5494,"[10.6104, 10.8344, 10.6664]",Description not provided. Please update as needed.
DDS US Equity,float64,9459,5498,"[27.4408, 27.2412, 28.0395]",Description not provided. Please update as needed.
DE US Equity,float64,9459,5840,"[6.5674, 6.7, 6.7602]",Description not provided. Please update as needed.
DEC US Equity,float64,1830,431,"[41.25, 40.875, 41.75]",Description not provided. Please update as needed.
DELL US Equity,float64,7909,3457,"[0.262, 0.2676, 0.2639]",Description not provided. Please update as needed.
DF US Equity,float64,8506,4009,"[2.4452, 2.4051, 2.2848]",Description not provided. Please update as needed.
DFS US Equity,float64,4431,2854,"[24.2147, 24.4926, 25.2085]",Description not provided. Please update as needed.
DG US Equity,float64,3549,2190,"[20.0435, 21.6947, 22.0478]",Description not provided. Please update as needed.
DGX US Equity,float64,8262,4734,"[2.887, 2.9385, 3.0158]",Description not provided. Please update as needed.
DHI US Equity,float64,9459,5042,"[1.627, 1.5818, 1.6572]",Description not provided. Please update as needed.
DHR US Equity,float64,9459,5632,"[1.5658, 1.5603, 1.5714]",Description not provided. Please update as needed.
DIS US Equity,float64,9459,5319,"[9.7931, 9.8245, 9.6671]",Description not provided. Please update as needed.
DISCA US Equity,float64,5139,2666,"[8.3422, 7.6702, 7.0909]",Description not provided. Please update as needed.
DISCK US Equity,float64,3969,2008,"[8.0, 8.35, 8.435]",Description not provided. Please update as needed.
DISH US Equity,float64,8807,4482,"[1.5142, 1.4251, 1.4474]",Description not provided. Please update as needed.
DJ US Equity,float64,5490,2752,"[22.2345, 22.3249, 22.0537]",Description not provided. Please update as needed.
DLPH US Equity,float64,618,397,"[49.5832, 50.9578, 51.0364]",Description not provided. Please update as needed.
DLR US Equity,float64,5390,3518,"[6.638, 6.7209, 6.6712]",Description not provided. Please update as needed.
DLTR US Equity,float64,8913,4238,"[1.1687, 1.0864, 1.1111]",Description not provided. Please update as needed.
DLX US Equity,float64,9459,5347,"[10.8929, 11.0733, 11.0372]",Description not provided. Please update as needed.
DNB US Equity,float64,6891,4197,"[14.1629, 13.1366, 12.3155]",Description not provided. Please update as needed.
DNR US Equity,float64,8730,3005,"[1.6046, 1.5451, 1.404]",Description not provided. Please update as needed.
DO US Equity,float64,8695,5261,"[6.0386, 6.1015, 6.07]",Description not provided. Please update as needed.
DOV US Equity,float64,9459,5672,"[5.7937, 5.8071, 6.034]",Description not provided. Please update as needed.
DOW US Equity,float64,9284,5369,"[8.084, 8.1359, 8.1531]",Description not provided. Please update as needed.
DPHIQ US Equity,float64,4246,1708,"[14.6519, 16.0525, 15.837]",Description not provided. Please update as needed.
DRE US Equity,float64,9459,4882,"[2.3566, 2.4141, 2.4715]",Description not provided. Please update as needed.
DRI US Equity,float64,8850,4848,"[3.7387, 3.9783, 4.0263]",Description not provided. Please update as needed.
DTE US Equity,float64,9459,5276,"[10.0969, 9.991, 10.0616]",Description not provided. Please update as needed.
DUK US Equity,float64,9459,5229,"[11.9136, 12.0172, 11.9827]",Description not provided. Please update as needed.
DVA US Equity,float64,8675,4075,"[4.075, 3.9, 4.175]",Description not provided. Please update as needed.
DVMT US Equity,float64,1079,556,"[43.0, 42.75, 43.5]",Description not provided. Please update as needed.
DVN US Equity,float64,9459,5666,"[9.8493, 9.9001, 9.8106]",Description not provided. Please update as needed.
DWDP US Equity,float64,9150,5538,"[7.9094, 7.9601, 7.977]",Description not provided. Please update as needed.
DXC US Equity,float64,868,583,"[59.1364, 57.2315, 56.9667]",Description not provided. Please update as needed.
DYNIQ US Equity,float64,7256,2266,"[30.983, 29.7914, 29.4935]",Description not provided. Please update as needed.
EA US Equity,float64,9459,4297,"[8.375, 8.25, 7.8125]",Description not provided. Please update as needed.
EBAY US Equity,float64,7617,4107,"[0.3157, 0.8308, 0.787]",Description not provided. Please update as needed.
ECL US Equity,float64,9459,5370,"[3.8813, 3.9374, 3.9711]",Description not provided. Please update as needed.
ECO US Equity,float64,3660,426,"[9.1221, 9.8518, 9.487]",Description not provided. Please update as needed.
ED US Equity,float64,9459,5317,"[9.9061, 10.0076, 10.0414]",Description not provided. Please update as needed.
EFX US Equity,float64,9459,5193,"[4.949, 4.924, 5.049]",Description not provided. Please update as needed.
EHC US Equity,float64,9459,3391,"[16.3678, 15.6683, 16.2279]",Description not provided. Please update as needed.
EIX US Equity,float64,9459,5013,"[10.9879, 10.9337, 10.8255]",Description not provided. Please update as needed.
EKDKQ US Equity,float64,7686,3789,"[30.5271, 30.081, 30.4634]",Description not provided. Please update as needed.
EL US Equity,float64,8658,5217,"[6.8331, 6.5856, 6.4618]",Description not provided. Please update as needed.
EMC US Equity,float64,8784,3272,"[1.7654, 1.7509, 1.8305]",Description not provided. Please update as needed.
EMN US Equity,float64,9361,5656,"[10.4456, 10.2147, 9.9839]",Description not provided. Please update as needed.
EMR US Equity,float64,9459,5679,"[7.5869, 7.6027, 7.6341]",Description not provided. Please update as needed.
ENDP US Equity,float64,6953,2934,"[12.25, 11.8125, 12.0]",Description not provided. Please update as needed.
ENRNQ US Equity,float64,4392,1596,"[15.1826, 15.1286, 15.2366]",Description not provided. Please update as needed.
EOG US Equity,float64,9459,5590,"[5.3197, 5.1704, 5.184]",Description not provided. Please update as needed.
EOP US Equity,float64,3725,1856,"[11.8412, 15.1539, 14.6957]",Description not provided. Please update as needed.
EP US Equity,float64,6954,3629,"[13.0937, 12.8852, 12.8018]",Description not provided. Please update as needed.
EQIX US Equity,float64,6057,3817,"[4.829, 4.44, 4.304]",Description not provided. Please update as needed.
EQR US Equity,float64,9459,5309,"[3.6121, 3.566, 3.5968]",Description not provided. Please update as needed.
EQT US Equity,float64,9459,5346,"[3.3275, 3.3175, 3.2975]",Description not provided. Please update as needed.
ES US Equity,float64,9459,4667,"[11.1972, 11.1458, 11.0944]",Description not provided. Please update as needed.
ESRX US Equity,float64,9459,4695,"[0.5742, 0.5938, 0.6016]",Description not provided. Please update as needed.
ESS US Equity,float64,9186,4550,"[6.19, 6.15, 6.11]",Description not provided. Please update as needed.
ESV US Equity,float64,9459,5341,"[4.4541, 4.1698, 4.3594]",Description not provided. Please update as needed.
ETFC US Equity,float64,8385,3559,"[28.0421, 27.2632, 27.419]",Description not provided. Please update as needed.
ETN US Equity,float64,9459,5759,"[5.3216, 5.4046, 5.446]",Description not provided. Please update as needed.
ETR US Equity,float64,9459,5353,"[12.802, 12.8427, 12.6801]",Description not provided. Please update as needed.
ETS US Equity,float64,4758,1238,"[110.2733, 105.7669, 108.9479]",Description not provided. Please update as needed.
EVHC US Equity,float64,7911,2911,"[6.0, 5.8333, 5.7083]",Description not provided. Please update as needed.
EVRG US Equity,float64,9459,4886,"[9.7565, 9.7235, 9.6573]",Description not provided. Please update as needed.
EW US Equity,float64,7066,3934,"[4.125, 4.016, 4.0]",Description not provided. Please update as needed.
EXC US Equity,float64,9459,5307,"[5.6155, 5.6377, 5.6821]",Description not provided. Please update as needed.
EXPD US Equity,float64,9459,5329,"[0.7314, 0.7186, 0.7443]",Description not provided. Please update as needed.
EXPE US Equity,float64,5125,3104,"[20.463, 20.548, 21.267]",Description not provided. Please update as needed.
EXR US Equity,float64,5468,3406,"[6.7488, 6.7542, 6.765]",Description not provided. Please update as needed.
F US Equity,float64,9459,4713,"[4.1678, 4.219, 4.3316]",Description not provided. Please update as needed.
